,App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
17,5965296$VALID,HDR$VALID,09/28/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Complete$VALID,Fingerprints & other items needed. Visit www.nyc.gov/tlcup,11/27/2020 05:00:03 PM$VALID
18,5961500$VALID,HDR$VALID,02/26/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
19,5957340$VALID,HDR$VALID,12/27/2019$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
20,5964675$VALID,HDR$VALID,08/19/2020$VALID,Approved - License Issued$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
21,5957323$VALID,HDR$VALID,12/27/2019$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
22,5961191$VALID,HDR$VALID,02/22/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
23,5965994$VALID,HDR$VALID,10/30/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
24,5958845$VALID,HDR$VALID,01/20/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
25,5964982$VALID,HDR$VALID,09/05/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
26,5964456$VALID,HDR$VALID,08/05/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Open items needed. Visit www.nyc.gov/tlcup for more information,11/27/2020 05:00:03 PM$VALID
27,5964208$VALID,HDR$VALID,07/22/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
28,5963090$VALID,HDR$VALID,03/18/2020$VALID,Approved - License Issued$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
29,5962572$VALID,HDR$VALID,03/11/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
30,5966761$VALID,HDR$VALID,11/27/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
31,5956485$VALID,HDR$VALID,12/11/2019$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
32,5965933$VALID,HDR$VALID,10/29/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
33,5964978$VALID,HDR$VALID,09/04/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
34,5960891$VALID,HDR$VALID,02/18/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
35,5964877$VALID,HDR$VALID,08/30/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
36,5964075$VALID,HDR$VALID,07/13/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
37,5962453$VALID,HDR$VALID,03/10/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
38,5965637$VALID,HDR$VALID,10/20/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
39,5965770$VALID,HDR$VALID,10/23/2020$VALID,Approved - License Issued$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
40,5966610$VALID,HDR$VALID,11/20/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
41,5964155$VALID,HDR$VALID,07/19/2020$VALID,Approved - License Issued$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
42,5964924$VALID,HDR$VALID,09/01/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
43,5965482$VALID,HDR$VALID,10/12/2020$VALID,Approved - License Issued$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
44,5964318$VALID,HDR$VALID,07/28/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
45,5963949$VALID,HDR$VALID,06/30/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
46,5963309$VALID,HDR$VALID,03/29/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
47,5960254$VALID,HDR$VALID,02/07/2020$VALID,Approved - License Issued$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
48,5963483$VALID,HDR$VALID,04/30/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
49,5960908$VALID,HDR$VALID,02/19/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
50,5965885$VALID,HDR$VALID,10/28/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
51,5965449$VALID,HDR$VALID,10/09/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
52,5966218$VALID,HDR$VALID,11/07/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
53,5966277$VALID,HDR$VALID,11/09/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
54,5965847$VALID,HDR$VALID,10/27/2020$VALID,Approved - License Issued$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
55,5965936$VALID,HDR$VALID,10/29/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
56,5965312$VALID,HDR$VALID,09/29/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
57,5965573$VALID,HDR$VALID,10/18/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
58,5966067$VALID,HDR$VALID,11/02/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
59,5966385$VALID,HDR$VALID,11/12/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
60,5961724$VALID,HDR$VALID,03/01/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
61,5962882$VALID,HDR$VALID,03/16/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
62,5961167$VALID,HDR$VALID,02/21/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
63,5960988$VALID,HDR$VALID,02/19/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
64,5958721$VALID,HDR$VALID,01/17/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
65,5960250$VALID,HDR$VALID,02/07/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
66,5966434$VALID,HDR$VALID,11/14/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
67,5965748$VALID,HDR$VALID,10/23/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
68,5966736$VALID,HDR$VALID,11/25/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
69,5958065$VALID,HDR$VALID,01/09/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
70,5960944$VALID,HDR$VALID,02/19/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
71,5964758$VALID,HDR$VALID,08/22/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Open items needed. Visit www.nyc.gov/tlcup for more information,11/27/2020 05:00:03 PM$VALID
72,5956780$VALID,HDR$VALID,12/17/2019$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
73,5960979$VALID,HDR$VALID,02/19/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,"Fingerprints, copy of DMV lic, other. Visit www.nyc.gov/tlcup",11/27/2020 05:00:03 PM$VALID
74,5964786$VALID,HDR$VALID,08/24/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
75,5966614$VALID,HDR$VALID,11/20/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
76,5959784$VALID,HDR$VALID,02/01/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
77,5960352$VALID,HDR$VALID,02/10/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
78,5961107$VALID,HDR$VALID,02/21/2020$VALID,Incomplete$VALID,11/06/2020$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
79,5966752$VALID,HDR$VALID,11/26/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
80,5961669$VALID,HDR$VALID,02/28/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
81,5965101$VALID,HDR$VALID,09/15/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
82,5965250$VALID,HDR$VALID,09/25/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
83,5963579$VALID,HDR$VALID,05/19/2020$VALID,Approved - License Issued$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
84,5966658$VALID,HDR$VALID,11/23/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
85,5960321$VALID,HDR$VALID,02/09/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
86,5966717$VALID,HDR$VALID,11/25/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
87,5965852$VALID,HDR$VALID,10/27/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
88,5964081$VALID,HDR$VALID,07/13/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
89,5962016$VALID,HDR$VALID,03/04/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
90,5957626$VALID,HDR$VALID,01/02/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
91,5963526$VALID,HDR$VALID,05/09/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
92,5964083$VALID,HDR$VALID,07/13/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
93,5965152$VALID,HDR$VALID,09/18/2020$VALID,Approved - License Issued$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
94,5965042$VALID,HDR$VALID,09/10/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
95,5966641$VALID,HDR$VALID,11/22/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
96,5964006$VALID,HDR$VALID,07/06/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
97,5956283$VALID,HDR$VALID,12/07/2019$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
98,5964676$VALID,HDR$VALID,08/19/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
99,5966413$VALID,HDR$VALID,11/13/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
100,5964660$VALID,HDR$VALID,08/18/2020$VALID,Approved - License Issued$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
101,5966505$VALID,HDR$VALID,11/17/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Fingerprints needed,11/27/2020 05:00:03 PM$VALID
102,5964427$VALID,HDR$VALID,08/03/2020$VALID,Approved - License Issued$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
103,5961753$VALID,HDR$VALID,03/02/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
104,5964881$VALID,HDR$VALID,08/30/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
105,5961558$VALID,HDR$VALID,02/27/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Fingerprints needed; Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
106,5955875$VALID,HDR$VALID,12/01/2019$VALID,Incomplete$VALID,Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Needed$VALID,Complete$VALID,Open items needed. Visit www.nyc.gov/tlcup for more information,11/27/2020 05:00:03 PM$VALID
107,5959048$VALID,HDR$VALID,01/22/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Open items needed. Visit www.nyc.gov/tlcup for more information,11/27/2020 05:00:03 PM$VALID
108,5962294$VALID,HDR$VALID,03/07/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Needed$VALID,Needed$VALID,Copy of DMV license needed,11/27/2020 05:00:03 PM$VALID
109,5966432$VALID,HDR$VALID,11/13/2020$VALID,Under Review$INVALID(OOCCURRENCEERROR),Not Applicable$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
110,5965579$VALID,HDR$VALID,10/19/2020$VALID,Incomplete$VALID,Not Applicable$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Needed$VALID,Complete$VALID,Not Applicable,11/27/2020 05:00:03 PM$VALID
